config_id,domain,stratum,rel_mase,rel_mase_lo,rel_mase_hi,mase,wql,win_rate_vs_snaive,valid_rate,mean_thinking_tokens,mean_answer_tokens,budget_hit_rate,n_windows,n_series,n_mase_nan,seed_sd,n_seeds,kind,dataset,model,setup,think,budget,context_mode,n_samples,seed,prior
fixtures__qwen3-0.6b__direct__b64__full__s0,overall,all,370.5055455597086,177.25675667206906,702.5296040947459,1425.1310634362994,,0.0,1.0,9.0,77.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,overall_ww,all,576.8876902142168,180.38019337785312,905.7463729766891,1425.1310634362994,,0.0,1.0,9.0,77.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,overall,event,,,,,,,1.0,9.0,77.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,overall_ww,event,,,,,,,1.0,9.0,77.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,overall,valid_only,,,,,,,1.0,9.0,77.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,overall_ww,valid_only,,,,,,,1.0,9.0,77.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,health,all,461.6616445687948,461.6616445687948,461.6616445687948,652.3869166113693,,0.0,1.0,9.0,77.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,health_ww,all,461.66164456879505,461.66164456879505,461.66164456879505,652.3869166113693,,0.0,1.0,9.0,77.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,health,event,,,,,,,1.0,9.0,77.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,health_ww,event,,,,,,,1.0,9.0,77.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,health,valid_only,,,,,,,1.0,9.0,77.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,health_ww,valid_only,,,,,,,1.0,9.0,77.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,energy,all,344.31162455029596,128.83359730240642,1069.0683326974406,1682.7124457112761,,0.0,1.0,9.0,77.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,energy_ww,all,596.1155705477886,128.8335973024064,1069.0683326974406,1682.7124457112761,,0.0,1.0,9.0,77.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,energy,event,,,,,,,1.0,9.0,77.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,energy_ww,event,,,,,,,1.0,9.0,77.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,energy,valid_only,,,,,,,1.0,9.0,77.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__b64__full__s0,energy_ww,valid_only,,,,,,,1.0,9.0,77.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,b64,64,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,overall,all,370.5055455597086,177.25675667206906,702.5296040947459,1425.1310634362994,,0.0,1.0,0.0,75.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,overall_ww,all,576.8876902142168,180.38019337785312,905.7463729766891,1425.1310634362994,,0.0,1.0,0.0,75.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,overall,event,,,,,,,1.0,0.0,75.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,overall_ww,event,,,,,,,1.0,0.0,75.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,overall,valid_only,,,,,,,1.0,0.0,75.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,overall_ww,valid_only,,,,,,,1.0,0.0,75.0,0.0,4,4,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,health,all,461.6616445687948,461.6616445687948,461.6616445687948,652.3869166113693,,0.0,1.0,0.0,75.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,health_ww,all,461.66164456879505,461.66164456879505,461.66164456879505,652.3869166113693,,0.0,1.0,0.0,75.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,health,event,,,,,,,1.0,0.0,75.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,health_ww,event,,,,,,,1.0,0.0,75.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,health,valid_only,,,,,,,1.0,0.0,75.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,health_ww,valid_only,,,,,,,1.0,0.0,75.0,0.0,1,1,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,energy,all,344.31162455029596,128.83359730240642,1069.0683326974406,1682.7124457112761,,0.0,1.0,0.0,75.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,energy_ww,all,596.1155705477886,128.8335973024064,1069.0683326974406,1682.7124457112761,,0.0,1.0,0.0,75.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,energy,event,,,,,,,1.0,0.0,75.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,energy_ww,event,,,,,,,1.0,0.0,75.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,energy,valid_only,,,,,,,1.0,0.0,75.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__qwen3-0.6b__direct__off__full__s0,energy_ww,valid_only,,,,,,,1.0,0.0,75.0,0.0,3,3,0,,1,llm,fixtures,qwen3-0.6b,direct,off,0,full,1,0,
fixtures__snaive,overall,all,1.0,1.0,1.0,2.552177132646137,,0.5,1.0,0.0,0.0,0.0,12,12,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,overall_ww,all,1.0,1.0,1.0,2.552177132646137,,0.5,1.0,0.0,0.0,0.0,12,12,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,overall,event,,,,,,,1.0,0.0,0.0,0.0,12,12,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,overall_ww,event,,,,,,,1.0,0.0,0.0,0.0,12,12,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,overall,valid_only,,,,,,,1.0,0.0,0.0,0.0,12,12,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,overall_ww,valid_only,,,,,,,1.0,0.0,0.0,0.0,12,12,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,web,all,1.0,1.0,1.0,0.8706093149415951,,0.5,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,web_ww,all,1.0,1.0,1.0,0.8706093149415951,,0.5,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,web,event,,,,,,,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,web_ww,event,,,,,,,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,web,valid_only,,,,,,,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,web_ww,valid_only,,,,,,,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
fixtures__snaive,health,all,1.0,1.0,1.0,1.9995108949017428,,0.5,1.0,0.0,0.0,0.0,3,3,0,,1,baseline,fixtures,snaive,baseline,n/a,0,numeric,0,0,
